id,filename,genre,subgenre,artist,title
"Blues_-_Modern-Albert_King_-_Born_Under_A_Bad_Sign","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Modern/Albert King - Born Under A Bad Sign.mid",Blues,Modern,Albert King,"Born Under A Bad Sign"
"Blues_-_Modern-B_B_King_-_How_Blue_Can_You_Get","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Modern/B B King - How Blue Can You Get.mid",Blues,Modern,B B King,"How Blue Can You Get"
"Blues_-_Modern-B_B_King_-_Rock_Me_Baby","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Modern/B B King - Rock Me Baby.mid",Blues,Modern,B B King,"Rock Me Baby"
"Blues_-_Modern-B_B_King_-_The_Thrill_Is_Gone","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Modern/B B King - The Thrill Is Gone.mid",Blues,Modern,B B King,"The Thrill Is Gone"
"Blues_-_Modern-Buddy_Guy_-_Don't_Answer_the_Door","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Modern/Buddy Guy - Don't Answer the Door.mid",Blues,Modern,Buddy Guy,"Don't Answer the Door"
"Blues_-_Modern-Cream_-_Crossroads","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Modern/Cream - Crossroads.mid",Blues,Modern,Cream,"Crossroads"
"Blues_-_Modern-Derek_and_the_Dominoes_-_Key_to_the_Highway","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Modern/Derek and the Dominoes - Key to the Highway.mid",Blues,Modern,Derek and the Dominoes,"Key to the Highway"
"Blues_-_Modern-Derek_and_the_Dominoes_-_Nobody_Knows_You_When_Youre_Down_and_Out","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Modern/Derek and the Dominoes - Nobody Knows You When Youre Down and Out.mid",Blues,Modern,Derek and the Dominoes,"Nobody Knows You When Youre Down and Out"
"Blues_-_Modern-Gary_Moore_-_Still_Got_The_Blues","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Modern/Gary Moore - Still Got The Blues.mid",Blues,Modern,Gary Moore,"Still Got The Blues"
"Blues_-_Modern-James_Cotton_-_Sweet_Sixteen","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Modern/James Cotton - Sweet Sixteen.mid",Blues,Modern,James Cotton,"Sweet Sixteen"
"Blues_-_Modern-Johnny_Winter_-_Good_Morning_Little_Schoolgirl","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Modern/Johnny Winter - Good Morning Little Schoolgirl.mid",Blues,Modern,Johnny Winter,"Good Morning Little Schoolgirl"
"Blues_-_Modern-Johnny_Winter_-_Unseen_Eye","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Modern/Johnny Winter - Unseen Eye.mid",Blues,Modern,Johnny Winter,"Unseen Eye"
"Blues_-_Modern-Koko_Taylor_-_Let_the_Good_Times_Roll","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Modern/Koko Taylor - Let the Good Times Roll.mid",Blues,Modern,Koko Taylor,"Let the Good Times Roll"
"Blues_-_Modern-Led_Zeppelin_-_I_Can't_Quit_You_Baby","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Modern/Led Zeppelin - I Can't Quit You Baby.mid",Blues,Modern,Led Zeppelin,"I Can't Quit You Baby"
"Blues_-_Modern-Led_Zeppelin_-_Since_I've_Been_Loving_You","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Modern/Led Zeppelin - Since I've Been Loving You.mid",Blues,Modern,Led Zeppelin,"Since I've Been Loving You"
"Blues_-_Modern-Stevie_Ray_Vaughan_-_Cold_Shot","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Modern/Stevie Ray Vaughan - Cold Shot.mid",Blues,Modern,Stevie Ray Vaughan,"Cold Shot"
"Blues_-_Modern-Stevie_Ray_Vaughan_-_Honey_Bee","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Modern/Stevie Ray Vaughan - Honey Bee.mid",Blues,Modern,Stevie Ray Vaughan,"Honey Bee"
"Blues_-_Modern-Stevie_Ray_Vaughan_-_Pride_And_Joy","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Modern/Stevie Ray Vaughan - Pride And Joy.mid",Blues,Modern,Stevie Ray Vaughan,"Pride And Joy"
"Blues_-_Modern-Stevie_Ray_Vaughan_-_Texas_Flood","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Modern/Stevie Ray Vaughan - Texas Flood.mid",Blues,Modern,Stevie Ray Vaughan,"Texas Flood"
"Blues_-_Modern-Ten_Years_After_-_Help_Me","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Modern/Ten Years After - Help Me.mid",Blues,Modern,Ten Years After,"Help Me"
"Blues_-_Modern-The_Allman_Brothers_Band_-_It's_Not_My_Cross_To_Bear","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Modern/The Allman Brothers Band - It's Not My Cross To Bear.mid",Blues,Modern,The Allman Brothers Band,"It's Not My Cross To Bear"
"Blues_-_Modern-The_Allman_Brothers_Band_-_One_Way_Out","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Modern/The Allman Brothers Band - One Way Out.mid",Blues,Modern,The Allman Brothers Band,"One Way Out"
"Blues_-_Modern-The_Allman_Brothers_Band_-_Statesboro_Blues","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Modern/The Allman Brothers Band - Statesboro Blues.mid",Blues,Modern,The Allman Brothers Band,"Statesboro Blues"
"Blues_-_Modern-The_Allman_Brothers_Band_-_Stormy_Monday","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Modern/The Allman Brothers Band - Stormy Monday.mid",Blues,Modern,The Allman Brothers Band,"Stormy Monday"
"Blues_-_Modern-The_Doors_-_Roadhouse_Blues","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Modern/The Doors - Roadhouse Blues.mid",Blues,Modern,The Doors,"Roadhouse Blues"
"Blues_-_Traditional-Blind_Lemon_Jefferson_-_Matchbox_Blues","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Traditional/Blind Lemon Jefferson - Matchbox Blues.mid",Blues,Traditional,Blind Lemon Jefferson,"Matchbox Blues"
